Row Idx,Title,Candidate Idx,Candidate Title,Score
3723,Richard Marx - Hold On To The Nights,217690,Richard Marx - Hold On To The Nights,0.9946781843209456
3724,Eric Carnen - Hungry Eyes,217759,Eric Carmen - Hungry Eyes,0.8032252976071348
3725,Johnny Hates Jazz - Shattered Dreams,217831,Johnny Hates Jazz - Shattered Dreams,0.9972715868636862
3726,George Michael - Father Figure,217843,George Michael - Father Figure,0.9989738231309908
3727,Samantha Fox - Naughty Girls (Need Love Too),308664,Samantha Fox - Naughty Girls (Need Love Too),0.9978909097003567
3728,Phil Collins - A Groovy Kind Of Love,217923,Phil Collins - A Groovy Kind of Love,0.9990105346313239
3729,Def Leppard - Love Bites,218014,Def Leppard - Love Bites,0.9990275279318983
3730,Richard Marx - Endless Summer Nights,218053,Richard Marx - Endless Summer Nights,0.9959226774764025
3731,Debbie Gibson - Foolish Beat,295727,Debbie Gibson - Foolish Beat,0.9980402931465107
3732,Whitney Houston - Where Do Broken Hearts Go,218154,Whitney Houston - Where Do Broken Hearts Go,0.9973207555883008
3733,Aerosmith - Angel,305663,Aerosmith - Angel,0.9964763271823182
3734,Bangles - Hazy Shade Of Winter,218277,The Bangles - Hazy Shade of Winter,0.9845690205307417
3735,Michael Jackson - The Way You Make Me Feel,352012,Michael Jackson - The Way You Make Me Feel,0.9958880307052845
3736,"Bobby McFerrin - Don’t Worry, Be Happy",298049,Bobby McFerrin - Don't Worry Be Happy,0.8697379539161211
3737,Eric Carnen - Make Me Lose Control,314450,Eric Carmen - Make Me Lose Control,0.8212122813502942
3738,UB40 - Red Red Wine,218540,UB40 - Red Red Wine,0.9897257104613385
3739,Patric Swayze - She’s Like The Wind,218560,Patrick Swayze - She's Like The Wind,0.8356748556939575
3740,Bon Jovi - Bad Medicine,218628,Bon Jovi - Bad Medicine,0.9951994145276868
3741,Beach Boys - Kokomo,218699,The Beach Boys - Kokomo,0.9853902942040179
3742,Elton John - I Don’t Wanna Go On With You Like That,351844,Elton John - I Don't Wanna Go On With You Like That,0.9257597624114607
3743,Rick Astley - Together Forever,218830,Rick Astley - Together Forever,0.9981866498002825
3744,George Michael - Monkey,233918,George Michael - One More Try,0.6818905198322364
3745,INXS - Devil Inside,218947,INXS - Devil Inside,0.9930225963650047
3746,Richard Marx - Should’ve Known Better,311788,Richard Marx - Should've Known Better,0.7994389460485322
3747,Chicago - I Don’t Wanna Live Without Your Love,326091,Chicago - I Don't Wanna Live Without Your Love,0.9261931558355592
3748,Kylie Minogue - The Loco-Motion,219054,Kylie Minogue - The Loco-Motion,0.9986813058601021
3749,Pet Shop Boys and Dusty Springfield - What Have I Done To Deserve This?,219088,Pet Shop Boys - What Have I Done to Deserve This? (with Dusty Springfield) - 2018 Remaster,0.8499769643717298
3750,Jets - Make It Real,219145,The Jets - Make It Real,0.9723227902041826
3751,Information Society - What’s On Your Mind,157054,Information Society - Kiss You All Over,0.743397413735831
3752,Taylor Dayne - Tell It To My Heart,219287,Taylor Dayne - Tell It to My Heart,0.9981060253540208
3753,Debbie Gibson - Out Of The Blue,219331,Debbie Gibson - Out of the Blue,0.9975117832451477
3754,Jody Watley - Don’t You Want Me,239410,Jody Watley - Don't You Want Me,0.8968094043263322
3755,U2 - Desire,219467,U2 - Desire,0.9958314224652677
3756,Belinda Carlisle - I Get Weak,245749,Belinda Carlisle - I Get Weak,0.999608346930084
3757,Terence Trent d’Arby - Sign Your Name,346622,Terence Trent D'Arby - Sign Your Name,0.7829007913255843
3758,Roger - I Want To Be Your Man,242691,Roger - I Want to Be Your Man,0.9993505463096036
3759,Pebbles - Girlfriend,326325,Pebbles - Girlfriend - Single Version,0.8594232199416538
3760,Michael Jackson - Dirty Diana,219786,Michael Jackson - Dirty Diana,0.9977738039674886
3761,Gloria Estefan and Miami Sound Machine - 1 2 3 4,214627,Gloria Estefan And Miami Sound Machine - Rhythm Is Gonna Get You,0.7216861526474466
3762,Pebbles - Mercedes Boy,219962,Pebbles - Mercedes Boy,0.9951470786549068
3763,Huey Lewis and The News - Perfect World,220069,Huey Lewis & The News - Perfect World,0.9724977053217768
3764,INXS - New Sensation,220162,INXS - New Sensation,0.9918095831481463
3765,Pretty Poison - Catch Me (I’m Falling),220191,Pretty Poison - Catch Me (I'm Falling),0.868606142891212
3766,New Edition - If It Isn’t Love,220241,New Edition - If It Isn't Love,0.8430086071192358
3767,Jets - Rocket 2 U,220279,The Jets - Rocket 2 U,0.9776796407511081
3768,Peter Cetera - One Good Woman,250724,Peter Cetera - One Good Woman,0.9980904313279179
3769,Cheap Trick - Don’t Be Cruel,220904,Cheap Trick - Don't Be Cruel,0.9073888571933274
3770,Elton John - Candle In The Wind,220483,Elton John - Candle In The Wind - Live,0.9469257433709786
3771,Daryl Hall and John Oates - Everything Your Heart Desires,220510,Daryl Hall & John Oates - Everything Your Heart Desires,0.979262163908863
3772,Foreigner - Say You Will,268013,Foreigner - Say You Will,0.9990907491253876
3773,Keith Sweat - I Want Her,232975,Keith Sweat - I Want Her,0.9990962673462022
3774,Natalie Cole - Pink Cadillac,220691,Natalie Cole - Pink Cadillac,0.9973862956706041
3775,Tracy Chapman - Fast Car,220718,Tracy Chapman - Fast Car,0.9974052434271177
3776,Icehouse - Electric Blue,220785,ICEHOUSE - Electric Blue,0.9978691774874557
3777,Bruce Hornsby and The Range - The Valley Road,312563,Bruce Hornsby - The Valley Road,0.9078792208875354
3778,Bobby Brown - Don’t Be Cruel,222380,Bobby Brown - Don't Be Cruel,0.9000438696503671
3779,Pet Shop Boys - Always On My Mind,220961,Pet Shop Boys - Always on My Mind - 2003 Remaster,0.8225699486968601
3780,Brenda Russell feat. Joe Esposito - Piano In The Dark,238295,Brenda Russell - Piano In The Dark,0.7615981843090548
3781,Van Halen - When It’s Love,221119,Van Halen - When It's Love,0.8325777089232208
3782,Paul Carrack - Don’t Shed A Tear,221158,Paul Carrack - Don't Shed A Tear,0.9088270229126678
3783,Sting - We’ll Be Together,250137,Sting - We'll Be Together,0.6874502539473633
3784,Joan Jett and The Blackhearts - I Hate Myself For Loving You,353414,Joan Jett & The Blackhearts - I Hate Myself for Loving You,0.981537226604761
3785,Foreigner - I Don’t Want To Live Without You,221361,Foreigner - I Don't Want to Live Without You,0.923867326441673
3786,Al B. Sure! - Nite And Day,339094,Al B. Sure! - Nite and Day,0.997502785925621
3787,Steve Winwood - Don’t You Know What The Night Can Do,227682,Steve Winwood - Don't You Know What The Night Can Do?,0.8387898443762215
3788,Whitney Houston - One Moment In Time,296346,Whitney Houston - One Moment in Time,0.9970351110221279
3789,Gloria Estefan and Miami Sound Machine - Can’t Stay Away From You,221547,Miami Sound Machine - Can't Stay Away from You,0.7559658521656019
3790,George Michael - Kissing A Fool,221590,George Michael - Kissing a Fool,0.9984588542378999
3791,John Cougar Mellancamp - Cherry Bomb,221646,John Mellencamp - Cherry Bomb,0.7901537971303518
3792,Brenda K. Starr - I Still Believe,280009,Brenda K. Starr - I Still Believe - English,0.8601064046927165
3793,Cher - I Found Someone,224137,Cher - I Found Someone,0.9987717486969326
3794,INXS - Never Tear Us Apart,221930,INXS - Never Tear Us Apart,0.993334531816852
3795,Steve Windwood - Valerie,221935,Steve Winwood - Valerie,0.7029088931562786
