Row Idx,Title,Candidate Idx,Candidate Title,Score
71,Weeknd - Can’t Feel My Face,2896,The Weeknd - Can’t Feel My Face,0.9806699226725943
72,Coldplay - Hymn For The Weekend,694,Coldplay - Hymn for the Weekend,0.9991100470018012
73,Tory Lanez - Say It,54150,Tory Lanez - Say It,0.9987345304172277
74,Travis Scott - Antidote,713,Travis Scott - Antidote,0.9988003009708083
75,Ruth B - Lost Boy,723,Ruth B. - Lost Boy,0.7923735425282671
76,Ariana Grande feat. Nicki Minaj - Side To Side,4046,Ariana Grande - Side To Side,0.8452417827837045
77,"Daya - Sit Still, Look Pretty",743,"Daya - Sit Still, Look Pretty",0.9995395721910117
78,Taylor Swift - Wildest Dreams,41703,Taylor Swift - Wildest Dreams,0.9993546300255474
79,DJ Snake feat. Bipolar Sunshine - Middle,56307,DJ Snake - Middle,0.6601086490875231
80,Ellie Goulding - On My Mind,774,Ellie Goulding - On My Mind,0.9991501483106661
81,Drake feat. The Throne - Pop Style,3048,Drake - Pop Style,0.7781526980093171
82,Adele - When We Were Young,6742,Adele - When We Were Young,0.9997190195331226
83,Daya - Hide Away,801,Daya - Hide Away,0.9992194826767196
84,Major Lazer and DJ Snake feat. MO - Lean On,2936,Major Lazer - Lean On,0.7365451019511253
85,Shawn Mendes and Camila Cabello - I Know What You Did Last Summer,42033,Shawn Mendes & Camila Cabello - I Know What You Did Last Summer,0.9827437724693687
86,"Fat Joe, Rem - All The Way Up",6843,Fat Joe & Remy Ma - All the Way Up,0.6701308917035431
87,Silento - Watch Me,841,Silento - Watch Me,0.9995899081912022
88,Chris Brown - Back To Sleep,851,Chris Brown - Back to Sleep,0.9991745762060249
89,Usher feat. Young Thug - No Limit,4849,Usher - No Limit,0.7313104161675545
90,O.T. Genasis feat. Young Dolph - Cut It,870,O.T. Genasis - Cut It,0.7842149176090235
91,Kevin Gates - Really Really,39007,Kevin Gates - Really Really,0.9979335215286992
92,Fifth Harmony feat. Fetty Wap - All In My Head (Flex),55523,Fifth Harmony - All In My Head (Flex),0.8494740571853455
93,Hailee Steinfeld and Grey feat. Zedd - Starving,4412,Hailee Steinfeld & Grey - Starving,0.8645703584025589
94,Coldplay - Adventure Of A Lifetime,910,Coldplay - Adventure of a Lifetime,0.998147780316554
95,Tim McGraw - Humble And Kind,19641,Tim McGraw - Humble and Kind,0.9965982585471594
96,Future - Wicked,934,Future - Wicked,0.9980979357513674
97,Desiigner - Tiimmy Turner,939,Desiigner - Tiimmy Turner,0.9989717830664308
98,Wiz Khalifa feat. Charlie Puth - See You Again,53880,Wiz Khalifa - See You Again,0.7981715094980526
99,One Direction - Perfect,4604,One Direction - Perfect,0.9991431519886667
100,Macklemore & Ryan Lewis Featuring Wanz - Thrift Shop,968,Macklemore & Ryan Lewis - Thrift Shop,0.8725224160590956
101,Robin Thicke Featuring T.I. + Pharrell - Blurred Lines,52440,Robin Thicke - Blurred Lines,0.7321989894752845
102,Imagine Dragons - Radioactive,988,Imagine Dragons - Radioactive,0.9966860767718364
103,Baauer - Harlem Shake,997,Baauer - Harlem Shake,0.9970712173016485
104,Macklemore & Ryan Lewis Featuring Ray Dalton - Can't Hold Us,1007,Macklemore & Ryan Lewis - Can’t Hold Us,0.7494821323282709
105,Justin Timberlake - Mirrors,37058,Justin Timberlake - Mirrors,0.9975692519307915
106,P!nk Featuring Nate Ruess - Just Give Me A Reason,1026,P!nk - Just Give Me a Reason,0.7580457474452639
107,Bruno Mars - When I Was Your Man,6743,Bruno Mars - When I Was Your Man,0.9992919253937673
108,Florida Georgia Line Featuring Nelly - Cruise,1047,Florida Georgia Line - Cruise,0.8755773416740562
109,Katy Perry - Roar,1056,Katy Perry - Roar,0.9978039551314504
110,Bruno Mars - Locked Out Of Heaven,50349,Bruno Mars - Locked Out of Heaven,0.9991140603773174
111,The Lumineers - Ho Hey,1076,​The Lumineers - Ho Hey,0.8909381364548543
112,Rihanna Featuring Mikky Ekko - Stay,41746,Rihanna - Stay,0.508641286362988
113,Daft Punk Featuring Pharrell Williams - Get Lucky,52948,Daft Punk - Get Lucky,0.7072307862585298
114,Lorde - Royals,1105,Lorde - Royals,0.9993957862438058
115,Taylor Swift - I Knew You Were Trouble.,29895,Taylor Swift - I Knew You Were Trouble,0.9212416098605419
116,Miley Cyrus - We Can't Stop,37795,Miley Cyrus - We Can’t Stop,0.8288663659440788
117,Miley Cyrus - Wrecking Ball,1135,Miley Cyrus - Wrecking Ball,0.997952396558696
118,Avicii - Wake Me Up!,1145,Avicii - Wake Me Up,0.8535938614943898
119,Justin Timberlake Featuring JAY Z - Suit & Tie,2015,Justin Timberlake - Suit & Tie,0.8514471683408831
120,Anna Kendrick - Cups (Pitch Perfect's When I'm Gone),32734,Pitch Perfect 2 - We Belong,0.3665075358378997
121,Jay Z Featuring Justin Timberlake - Holy Grail,43225,Holy Grail - Holy Grail - Tribute to Jay-Z and Justin Timberlake,0.7326988176426407
122,will.i.am & Britney Spears - Scream & Shout,57504,​will.i.am - Scream & Shout,0.7473453343653778
123,Zedd Featuring Foxes - Clarity,1192,Zedd - Clarity,0.7290170060160291
124,AWOLNATION - Sail,1203,AWOLNATION - Sail,0.9977266678335934
125,Swedish House Mafia Featuring John Martin - Don't You Worry Child,1212,Swedish House Mafia - Don’t You Worry Child,0.7927939154523618
126,Rihanna - Diamonds,35065,Rihanna - Diamonds,0.9972105078830883
127,Icona Pop Featuring Charli XCX - I Love It,1234,Icona Pop - I Love It,0.6586771284996621
128,Capital Cities - Safe And Sound,1242,Capital Cities - Safe and Sound,0.9979813387623421
129,Bruno Mars - Treasure,1252,Bruno Mars - Treasure,0.9986705150121735
130,Ariana Grande Featuring Mac Miller - The Way,1267,Ariana Grande - The Way,0.7121458536603524
131,Drake - Started From The Bottom,1272,Drake - Started from the Bottom,0.9988746834818004
132,Selena Gomez - Come & Get It,36641,Selena Gomez - Lover In Me,0.7416931672032829
133,"Drake Featuring Majid Jordan - Hold On, We're Going Home",52947,"Drake - Hold On, We’re Going Home",0.6074529469462487
134,Maroon 5 - Daylight,1305,Maroon 5 - Daylight,0.9991063578541597
135,Pitbull Featuring Christina Aguilera - Feel This Moment,1312,Pitbull - Feel This Moment,0.7058739681275138
136,Lady Gaga - Applause,43437,Lady Gaga - Applause,0.999057725367354
137,Maroon 5 - One More Night,56806,Maroon 5 - One More Night,0.9993417611085585
138,Lil Wayne Featuring Drake & Future - Love Me,55779,Lil Wayne - Love Me,0.5663682943535574
139,Fall Out Boy - My Songs Know What You Did In The Dark (Light Em Up),56993,Fall Out Boy - My Songs Know What You Did in the Dark (Light ’Em Up),0.9330257980942218
140,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar - F**kin Problems",1366,A$AP Rocky - F**kin’ Problems (Clean Version),0.6065207850983828
141,Justin Bieber Featuring Nicki Minaj - Beauty And A Beat,1370,Justin Bieber - Beauty and a Beat,0.7999628082766829
142,Macklemore & Ryan Lewis Featuring Mary Lambert - Same Love,52682,Macklemore & Ryan Lewis - Same Love,0.8121342552008834
143,Calvin Harris Featuring Florence Welch - Sweet Nothing,1387,Calvin Harris - Sweet Nothing,0.7157221309988836
144,Lana Del Rey & Cedric Gervais - Summertime Sadness,1399,Lana Del Rey - Summertime Sadness (Cedric Gervais Remix),0.9009144533451175
145,Phillip Phillips - Home,48216,Phillip Phillips - U Got It Bad,0.8557466074384665
146,Imagine Dragons - It's Time,57878,Imagine Dragons - It’s Time,0.7941276284301221
147,J. Cole Featuring Miguel - Power Trip,26878,J. Cole - Power Trip,0.7569115690680944
148,Alicia Keys Featuring Nicki Minaj - Girl On Fire,50507,Alicia Keys - Girl on Fire,0.7479331245389403
149,Demi Lovato - Heart Attack,57751,Demi Lovato - Heart Attack,0.9968234585071521
150,Maroon 5 - Love Somebody,31984,Maroon 5 - Love Somebody,0.9990913924376527
151,Mumford & Sons - I Will Wait,1467,Mumford & Sons - I Will Wait,0.9978252699921143
152,P!nk - Try,53822,P!nk - So What,0.6816415014743588
153,Darius Rucker - Wagon Wheel,1487,Darius Rucker - Wagon Wheel,0.9929345487500121
154,PSY - Gangnam Style,1496,PSY - Gangnam Style,0.997261396249619
155,Calvin Harris Featuring Ellie Goulding - I Need Your Love,55981,Calvin Harris - I Need Your Love,0.70625963562417
156,Ke$ha - Die Young,1517,Kesha - Die Young,0.5928040498955476
157,fun. - Some Nights,1525,​fun. - Some Nights,0.8098507693935965
158,Wale Featuring Tiara Thomas Or Rihanna - Bad,24242,Tiara Thomas - Bad,0.6960428408688618
159,Blake Shelton Featuring Pistol Annies & Friends - Boys 'round Here,57851,Blake Shelton - Boys ’Round Here,0.5470216027968509
160,"Phillip Phillips - Gone, Gone, Gone",1554,"Phillip Phillips - Gone, Gone, Gone",0.9997484531012798
161,Imagine Dragons - Demons,1565,Imagine Dragons - Demons,0.9992945782842086
162,OneRepublic - Counting Stars,1574,OneRepublic - Counting Stars,0.9989547483424652
163,Flo Rida - I Cry,1584,Flo Rida - I Cry,0.9998052276843158
164,Of Monsters And Men - Little Talks,5516,Of Monsters and Men - Little Talks,0.9984423716037352
165,Jason Derulo - The Other Side,1609,Jason Derulo - The Other Side,0.9981881081002997
166,Eminem - Berzerk,38002,Eminem - Berzerk,0.9972459996881463
167,Kelly Clarkson - Catch My Breath,1622,Kelly Clarkson - Catch My Breath,0.9967562581942704
168,Luke Bryan - Crash My Party,1632,Luke Bryan - Crash My Party,0.9983793394325802
169,Rihanna - Pour It Up,1642,Rihanna - Pour It Up,0.9960458701816403
170,Taylor Swift - 22,1655,Taylor Swift - 22,0.9993402686455398
171,Hunter Hayes - I Want Crazy,1662,Hunter Hayes - I Want Crazy,0.9996944786029406
172,Ylvis - The Fox,53242,Ylvis - The Fox (What Does the Fox Say?),0.7219711809257684
173,One Direction - Best Song Ever,1679,One Direction - Best Song Ever,0.998675297236935
174,Ed Sheeran - The A Team,2082,Ed Sheeran - The A Team,0.9996057440842012
175,fun. - Carry On,1701,​fun. - Carry On,0.779365199968383
176,Tim McGraw With Taylor Swift - Highway Don't Care,1709,Tim McGraw - Highway Don’t Care,0.7082749162442913
177,Luke Bryan - That's My Kind Of Night,1719,Luke Bryan - That’s My Kind of Night,0.8078363310848624
